情感分数 = -19.865002	يېغىرىمنى=N=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=A=يوق تىلەمچى=A=تىلەمچى يوق=A=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = -2.0	يېگەن=V=يە تامىقىمنى=N=تاماق ئۆسۈمى=N=ئۆسۈم بىلەن=R=بىلەن قۇسۇپ=V=قۇس بولدۇم=V=بول
情感分数 = -2.0	نۇمۇس=N=نۇمۇس ،=N=، گۈلنەزەرنىڭ=N=گۈلنەزەر خەنزۇ=N=خەنزۇ ئوغۇل=N=ئوغۇل دوستى=N=دوستى چېڭ=N=چېڭ گاڭ=A=گاڭ .=N=.
情感分数 = -2.0	ئاخىرى=D=ئاخىرى ئاندرويىدتا=N=ئاندرويىد hello=N=hello world=A=world نى=X=نى ماڭغۇزدۇم=N=ماڭ ،=V=، مەندىكى=P=مەن مەسىلە=N=مەسىلە ئوخشايدۇ=V=ئوخشا ،=N=، دەپتىكەنمەن=V=دە ،=N=، تەقلىدى=N=تەقلىد مودىلىنىڭ=N=مودىل ئىجرا=N=ئىجرا قىلىش=V=قىل سۈرئىتى=N=سۈرئەت بەك=D=بەك ئاستىكەن=N=ئاستا .=N=.
情感分数 = -2.0	شۇنداق=P=شۇنداق يازغۇچىلارمۇ=N=يازغۇچى باركى=A=بار يازغان=V=ياز كىتابىنىڭ=N=كىتاب لاۋزىلىقىدىن=A=لاۋزا ئوچاققا=N=ئوچاق ئوت=N=ئوت قالىسا=V=قال ئوتمۇ=N=ئوت كۆيمەيدۇ=V=كۆي
情感分数 = -2.0	بۇ=P=بۇ گۈدۈكتىن=V=گۈدۈكتىن داۋاملىق=A=داۋاملىق ئۇندا=V=ئۇندا مۇندا=P=مۇندا چاتاق=A=چاتاق چىقىپلا=V=چىق تۇرىدۇ=V=تۇر
情感分数 = -2.0	قاندا=D=قاندا دىگەن=V=دە لاياقەتسىز=A=لاياقەتسىز گىنىراللار=N=گىنىرال بۇ=P=بۇ ؟=V=؟
情感分数 = -2.0	چۈشۈرۈش=V=چۈش سۈرئىتى=N=سۈرئەت يامان=A=يامان ئەمەسكەن=V=ئەمەس قايسى=P=قايسى چۈشۈرگۈچنى=N=چۈشۈرگۈچ ئىشلىتىۋاتىسىز=V=ئىشلەت ؟=N=؟
情感分数 = -2.0	ئۆمرۈمدە=N=ئۆمۈر بۇنداق=P=بۇنداق ئەخلەت=N=ئەخلەت دىتال=N=دىتال كۆرمىگەن=V=كۆر .=N=.
情感分数 = -2.0	بىز=P=بىز ئاۋال=V=ئاۋال شۇنداق=P=شۇنداق كۆندۈرۈپ=V=كۆندۈر قويغان=V=قوي گۇناھ=N=گۇناھ ئۆزىمىزدىكەن=N=ئۆزىمىز .=N=.
情感分数 = -2.0	قارشى=A=قارشى پىكىردە=N=پىكىر بولساڭ=V=بول بولىدۇ=V=بول ئەمما=R=ئەمما ھاقارەت=N=ھاقارەت قىلساڭ=V=قىل بولمايدۇ=V=بول ،=N=، بەك=D=بەك گەپ=N=گەپ قىلغۇڭ=N=قىل كەلسە=V=كەل چوڭ=A=چوڭ بولۇپراق=N=بول كەل=V=كەل .=N=.
情感分数 = -2.0	خەپ=E=خەپ پاشەكلە=N=پاشەك !=N=!
情感分数 = -2.0	ئەگەر=R=ئەگەر ئۈمىدسىزلىك=A=ئۈمىدسىز گۇمان=A=گۇمان ۋە=R=ۋە بىپەرۋالىقلار=A=بىپەرۋالىق پايدىلىق=A=پايدىلىق بولىدىغان=V=بول بولسا=V=بول بىز=P=بىز ئاللىقاچان=P=ئاللىقاچان نۇرغۇن=A=نۇرغۇن مۇساپىنى=N=مۇساپە بېسىپ=V=باس بولغان=V=بول بولاتتۇق=V=بول
情感分数 = -2.0	بۈگۈن=N=بۈگۈن قەشقەر=N=قەشقەر نىمانچىلا=D=نىمانچىلا سوغۇق=A=سوغۇق !=N=!
情感分数 = -2.0	چۈشتە=N=چۈش يېگەن=V=يە تۇخۇم=N=تۇخۇم ئىسسىق=A=ئىسسىق كېلىپ=V=كەل ھازىرغىچە=D=ھازىر قىيناۋاتىدۇ=V=قىينا
情感分数 = -2.0	ھەتتا=R=ھەتتا زىيانلىق=A=زىيانلىق بولۇۋاتىدۇ=V=بول .=N=.
情感分数 = -2.0	ئەجەب=D=ئەجەب ئىچىم=N=ئىچ سىقىلدى=V=سىق
情感分数 = -2.0	يەنە=R=يەنە ئۇرۇشۇپ=V=ئۇر قاپسىلەردە=V=قال تىنچ=A=تىنچ بىر=M=بىر كۈنۈڭلار=N=كۈن ئۆتمەمدۇ=V=ئۆت زادى=P=زادى
情感分数 = -2.0	ئۆزىنى=P=ئۆز ئۆزگەرتىشنىڭ=V=ئۆزگەر بىرىنچى=M=بىر قەدىمى=N=قەدەم ئۆزىدىكى=P=ئۆز ناچار=A=ناچار ئادەتلەرنى=N=ئادەت ئۆزگەرتىش=V=ئۆزگەر
情感分数 = -2.0	پېشانەمگە=N=پېشانە پۈتۈلگەننى=V=پۈت مېنىڭ=P=مەن تارتماي=V=تارت ئىلاجىم=N=ئىلاج يوق=A=يوق
情感分数 = -2.0	ھەتتا=R=ھەتتا بوۋاقلارغىمۇ=N=بوۋاق ئۇيقۇ=N=ئۇيقۇ يوق=V=يوق !=N=!
情感分数 = -2.0	ما=N=ما قوڭالتاق=A=قوڭالتاق نەدىن=P=نە پەيدا=N=پەيدا بولدى=V=بول ئەمدى=D=ئەمدى ؟=N=؟
情感分数 = -2.0	ئىتقاد=N=ئىتقاد تەپەككۇر=N=تەپەككۇر مېھىر-مۇھەببەت=N=مېھىر-مۇھەببەت بولمىغان=V=بول ئادەمنى=N=ئادەم قانداقمۇ=P=قانداقمۇ ئادەم=N=ئادەم دىگىلى=V=دە بولسۇن=V=بول ؟=N=؟
情感分数 = -2.0	ئاللا=N=ئاللا خۇدايىم=N=خۇدا ئەمدى=D=ئەمدى نىمە=N=نىمە قىپ=V=قىل بەسەم=V=بەسە بۇلىدۇ=V=بۇل
情感分数 = -2.0	پايدىسىز=A=پايدىسىز ئىلىمدىن=N=ئىلىم خۇدايىم=N=خۇدا ساقلىسۇن=V=ساقلا !=N=!
情感分数 = -2.0	مەيلى=N=مەيلى ياكى=R=ياكى بولسۇن=V=بول ئۇلار=P=ئۇلار پەقەتلا=D=پەقەت قەغەز=N=قەغەز ئۈستىدىكى=N=ئۈستى بىر=M=بىر چېكىت=N=چېكىت خالاس=Y=خالاس ئۇنىڭدىن=P=ئۇنىڭ باشقا=A=باشقا شەيئىلەرمۇ=N=شەيئى نۇرغۇن=A=نۇرغۇن
情感分数 = -2.0	ئۆز=P=ئۆز گۈدۈكۈڭنى=N=گۈدۈك ئۆزۈڭ=P=ئۆز چالمىساڭ=V=چال باشقىلار=A=باشقا ئۇنى=P=ئۇ تۈكۈرۈك=N=تۈكۈرۈك قاچىسى=N=قاچا قىلىپ=V=قىل ئىشلىتىدۇ=V=ئىشلەت
情感分数 = -2.0	توۋا=N=توۋا ،=N=، ياغلىق=N=ياغلىق ئارتىپسەن=N=ئارت دەپ=V=دە كىرىشىپ=V=كىرىشىش قالغان=V=قال ئىدى=V=ئىد ،=N=، ئەمدى=D=ئەمدى پوسما=N=پوسما كەيسەممۇ=N=كەي كۆزەمگە=N=كۆز كىرىۋالدى=V=كىر .=N=.
情感分数 = -2.0	بۇ=Y=بۇ بىز=P=بىز ئۈچۈن=R=ئۈچۈن ئىنتايىن=D=ئىنتايىن چوڭ=A=چوڭ زىيان=N=زىيان .=N=.
情感分数 = -2.0	﻿تۈنۈگۈن=M=تۈنۈگۈن ئەجەب=D=ئەجەب ئىچىلماي=V=ئاچ قالغان=V=قال ئىدى=V=ئىدى بۇ=P=بۇ گۈدۈك=N=گۈدۈك بۈگۈن=M=بۈگۈن ئاران=D=ئاران ئىچىلدىكىمدىكى=V=ئاچ چاتاق=A=چاتاق ؟=N=؟
情感分数 = -2.0	ۋاي=E=ۋاي بىچارە=A=بىچارە چاشقان=N=چاشقان
情感分数 = -2.0	قىسقىسى=R=قىسقا ئەخلەت=N=ئەخلەت ،=N=، كىرەكسىز=N=كىرەكسىز .=N=.
情感分数 = -2.0	ماۋۇنىڭدىنمۇ=N=ماۋۇ ئۆتە=V=ئۆت تېتىقسىز=A=تېتىقسىز گەپ=N=گەپ بارمۇ=A=بار ئەمدى=D=ئەمدى ؟=N=؟
情感分数 = -2.0	تور=N=تور بەتنىڭ=N=بەت بوشلۇق=N=بوشلۇق كۆچۈش=V=كۆچ ئىشلىرى=N=ئىش بەك=D=بەك بېشىمنى=N=باش ئاغرىتىۋەتتى=N=ئاغرىت .=N=.
情感分数 = -2.0	شەخسەن=D=شەخسەن ھازىرنىڭ=D=ھازىر ئۆزىدە=P=ئۆزى ئىملانى=V=ئىملانى ئۆزگەرتىشنىڭ=V=ئۆزگەر ئۆزى=P=ئۆز ئەڭ=D=ئەڭ چوڭ=A=چوڭ خاتالىق=N=خاتا .=N=.
情感分数 = -2.0	بۈگۈن=N=بۈگۈن رەسمىي=A=رەسمىي خورلۇق=N=خورلۇق ھېس=N=ھېس قىلدىم=V=قىل .=N=.
情感分数 = -2.0	بۈگۈن=N=بۈگۈن ئاخشام=N=ئاخشام ئۇخلىماي=V=ئۇخلا ماقالە=N=ماقالە يازىدىكەنمەندە=V=ياز
情感分数 = -2.0	ئۇيغۇرچە=N=ئۇيغۇر ئالاقە=N=ئالاقە تورى=N=تور ئەزالىرى=N=ئەزا ئارىسىدا=N=ئارا كىشىلىك=N=كىشى مۇناسىۋەت=N=مۇناسىۋەت شەكىللىنەلمەسلىكى=V=شەكىللەن زادى=D=زادى نېمە=N=نېمە ئۈچۈن=R=ئۈچۈن ؟=N=؟
情感分数 = -2.0	3=N=3 تال=N=تال يۇمشاق=A=يۇمشاق دېتالنى=N=دېتال قاچىلىسىلا=N=قاچىلا بېزەپ=V=بېزەپ ئېلانلىرى=N=ئېلان كۈندە=N=كۈندە سەكرەپ=V=سەكرە چىقىۋالغان=V=چىق .=N=.
情感分数 = -2.0	بۇ=P=بۇ بىر=M=بىر مىللەتكىلا=N=مىللەت ئەمەس=V=ئەمەس پۇتۇن=N=پۇتۇن مۇسۇلمانلارغا=N=مۇسۇلمان بولغان=V=بول ھاقارەت=N=ھاقارەت
情感分数 = -2.0	خىياللىرىم=N=خىيال پۇلغا=N=پۇل يۆلەكلىك=A=يۆلەكلىك ئشىم=N=ئشىم بۈگۈن=N=بۈگۈن يەنە=D=يەنە سۆرەكلىك=A=سۆرەكلىك تاڭلا=I=تاڭلا باشلاي=V=باشلا دەيمەن=V=دە ئۆزۈمگە=P=ئۆز تاتلىق=A=تاتلىق ئۇيقۇ=V=ئۇيقۇ يەنە=D=يەنە كۆزلەكلىك=N=كۆزلەكلىك
情感分数 = -2.0	نېمىشقا=P=نېمىشقا باشقا=A=باشقا ئادرېس=N=ئادرېس يوللىسا=V=يوللا باشقىغا=A=باشقا ئالمىشىپ=V=ئالماش كۆرۈنىدۇ=V=كۆر ؟=N=؟
情感分数 = -2.0	بۇ=P=بۇ خەۋەرلەرنى=N=خەۋەر كۆرۈپ=V=كۆر خۇددى=T=خۇددى قورقۇنۇچلۇق=A=قورق فىلىم=N=فىلىم كۆرگەندەك=V=كۆر بوپ=V=بول قالدىم=V=قال .=N=.
情感分数 = -2.0	قىلغان=V=قىل ئىشنىڭ=N=ئىش تايىنى=N=تايىنى يوق=A=يوق مانا=P=مانا كەچمۇ=N=كەچ بوپتۇ=V=بول !=N=!
情感分数 = -2.0	ئۇلارغا=P=ئۇلار زوراۋانلىق=N=زوراۋان ئاستىدىكى=N=ئاستى مۇقۇملۇق=N=مۇقۇملۇق لازىم=A=لازىم .=N=.
情感分数 = -2.0	خەپ=E=خەپ سىزمۇ=P=سىز ئالدىمغا=N=ئالدى كىلىپ=V=كەل قالارسىز=V=قال ئاشۇ=P=ئاشۇ چاغلاردا=N=چاغ .=N=.
情感分数 = -2.0	يالغانلىقى=A=يالغانلىق چىنىپلا=N=چىنىپ قاپتۇغۇ=N=قاپتۇ توۋا=E=توۋا
情感分数 = -2.0	ئەتراپىڭىزدىكى=N=ئەتراپ يېقىن=A=يېقىن كىشىلەردىن=N=كىشى ئايرىلىپ=V=ئايرىل قالماڭ=V=قال !=N=!
情感分数 = -2.0	كۆچۈرمىكەشلىك=A=كۆچۈرمىكەشلىك نومۇس=N=نومۇس
情感分数 = -2.0	ئوقۇش=V=ئوقۇش پۈتتۈرۈشكە=V=پۈت ئاز=A=ئاز قالدى=V=قال قىيمايۋاتىمەن=V=قىي !=N=!
情感分数 = -2.0	خوتۇنىنى=N=خوتۇن تېنىنى=N=تېنى سېتىپ=V=سات پۇل=N=پۇل تېپىشقا=V=تاپ كوچىغا=N=كوچا چىقىرىۋېتىپ=V=چىق ئۆزى=P=ئۆز ئۆيدە=N=ئۆي بوتۇلكا=N=بوتۇلكا قۇرۇقداپ=V=قۇرۇق ئولتۇرغان=V=ئولتۇر ئەرنىڭ=N=ئەر ھالى=N=ھال نېچۈكتۇر=N=نېچۈك ؟=N=؟
情感分数 = -2.0	جەمئىي=A=جەمئىي تۈردە=N=تۈر تور=N=تور بېكەت=N=بېكەت باركەن=A=بار ئۇنىڭ=P=ئۇنىڭ ئىچىدە=N=ئىچى تەكرارلىنىپ=V=تەكرار قالغان=V=قال خاتا=A=خاتا بولغانلىرى=V=بول قانچىلىك=P=قانچىلىك تېخى=D=تېخى كېچىچە=N=كەچ رەتلەيدىغان=V=رەتلە ئوخشايمەن=V=ئوخشا
情感分数 = -2.0	بىر=M=بىر قانچە=P=قانچە قېتىم=Q=قېتىم سىناپ=V=سىنا باقتىم=V=باق ھىچ=P=ھىچ ئىلگىرىلەش=V=ئىلگىرىلە يوق=A=يوق !=N=!
情感分数 = -2.0	ئەمما=R=ئەمما ئۇلارنىڭ=P=ئۇلار قىلغان=V=قىل ئىشىنى=N=ئىش كۆرۈپ=V=كۆر ئۇلارغا=P=ئۇلار پەقەت=D=پەقەت ئۈستىدىن=N=ئۈستى ئاستىغىچە=N=ئاستى چىكىت=N=چىكەت قويۇپ=V=قوي قويدۇم=V=قوي خالاس=T=خالاس .=N=.
情感分数 = -1.9350002	بۈگۈن=N=بۈگۈن ئۆزۈمنىڭ=P=ئۆز ئەستايىدىللىق=A=ئەستايىدىللىق ۋە=R=ۋە سەۋىر-تاقەتتىن=N=سەۋىر-تاقەت تولىمۇ=D=تولىمۇ يىراقتا=A=يىراق قالغانلىقىمنى=V=قال ھېس=N=ھېس قىلدىم=V=قىل ئۇلۇغ=A=ئۇلۇغ ئاللاھنىڭ=N=ئاللاھ ماڭا=P=ماڭ سەۋىر=N=سەۋىر ئاتا=N=ئاتا قىلىشىنى=V=قىل باشقىلارغا=A=باشقا قارىغاندىمۇ=V=قارا كۆپرەك=A=كۆپ سەۋىر=N=سەۋىر ئاتا=N=ئاتا قىلىشىنى=V=قىل تىلەيمەن=V=تىلە !=N=!
情感分数 = -1.8600001	دوست=N=دوست ۋە=R=ۋە دۈشمەننى=N=دۈشمەن پەرىق=N=پەرىق ئېتەلمىگەن=V=ئەت ئىنساننىڭ=N=ئىنسان بۇ=P=بۇ دۇنيادا=N=دۇنيا ياشىشىنىڭ=V=ياشا ئۆزى=P=ئۆز ئارتۇقچە=A=ئارتۇقچە .=N=.
情感分数 = -1.8600001	بۇلارنىڭ=P=بۇ ھەممىسى=P=ھەممە بىزنىڭ=P=بىز تېروتورىيە=V=تېروتورىيە ئېگىلىكىمىزگە=N=ئېگىلىك ۋە=R=ۋە ھوقۇقىمىزغا=N=ھوقۇق ئوچۇقتىن=N=ئوچۇق ئوچۇق=A=ئوچۇق دەخلى=N=دەخلە تەرۇز=N=تەرىز قىلغانلىق=V=قىل ،=N=، غورۇرىمىزنى=N=غورۇر دەپسەندە=N=دەپسەندە قىلغانلىق=V=قىل .=N=.
情感分数 = -1.8600001	ئويلاپ=V=ئويلا قالدىم=V=قال ،=N=، ئادەمدە=N=ئادەم ئىمان=N=ئىمان بولمىسا=V=بول ۋىجدانمۇ=N=ۋىجدان بولمايدىكەن=V=بول مۇناپىقلار=A=مۇناپىق
情感分数 = -1.8600001	بىن=N=بىن لادىن=N=لادىن راست=A=راست ئۆلدىمۇ=V=ئۆل ئامېرىكا=N=ئامېرىكا ئۆچىنى=N=ئۆچ ئالدىمۇ=V=ئال ؟=N=؟
情感分数 = -1.8600001	مۇستاپا=N=مۇستاپا كامالدىن=V=كامال كېيىنمۇ=D=كېيىن دۆلەت=N=دۆلەت يەنىلا=D=يەنىلا دەھرىيلىك=N=دەھرىي يولىدا=N=يول ماڭدى=V=ماڭ ،=N=، مۇسۇلمانلارنىڭ=N=مۇسۇلمان دىنى=N=دىن پائالىيەتلىرىگە=N=پائالىيەت چەك=N=چەك قويۇلدى=V=قوي ،=N=، ھاكىمىيەت=N=ھاكىمىيەت سەللا=D=سەل ئىسلاملىشىشقا=N=ئىسلام يۈزلەنسە=V=يۈزلەن ،=N=، ئارمىيە=N=ئارمىيە ھاكىمىيەتنى=N=ھاكىمىيەت ئاغدۇرۇپ=V=ئاغ يېڭى=A=يېڭى ھاكىمىيەت=N=ھاكىمىيەت تىكلىدى=V=تىكلە ،=N=، ھەتتا=R=ھەتتا بەزى=P=بەزى ئەلباشىلار=V=ئەلباش سۈيقەستكە=N=سۈيقەست ئۇچرىغانمۇ=N=ئۇچرا بولدى=V=بول .=N=.
情感分数 = -1.8600001	باغداش=N=باغداش مۇنبىرىدە=N=مۇنبەر ئىككى=M=ئىككى مۇناپىق=A=مۇناپىق زىيالىينىڭ=N=زىيالىي يېڭى=A=يېڭى يېزىققا=N=يېزىق قايتىش=V=قايت ھەققىدىكى=R=ھەققىدە بىر=M=بىر تېمىسى=N=تېما بار=A=بار ئىدى=V=ئىد ،=N=، تورداشلارنىڭ=N=تورداش قارشىلىقى=N=قارشى بىلەن=R=بىلەن ئۆچۈرۈلگەن=V=ئۆچ ئوخشايدۇ=V=ئوخشا .=N=.
情感分数 = -1.8600001	گۈدۈكتە=N=گۈدۈك قاملاشمىغان=V=قاملاش مۇقام=N=مۇقام توۋلاپ=V=توۋلا دىققەتنى=N=دىققەت جەلىپ=N=جەلىپ قىلىمەن=V=قىل دەپ=V=دە يۈزىڭىزنى=N=يۈز چۈشۈرىۋالماڭ=N=چۈشۈر ،=V=، قانچىلىك=P=قانچىلىك يۈزىڭىز=V=يۈزى بارلىقىنىغۇ=N=بار بىلمەيمەن=V=بىل ئەمدى=D=ئەمدى شۇنداقتىمۇ=P=شۇنداق ،=V=، ئەسكەرتىپ=V=ئەسكەرت قوياي=V=قوي قېرىنداشلارچە=D=قېرىنداش لاۋزا=A=لاۋزا .=N=.
情感分数 = -1.8600001	ئەگەر=R=ئەگەر سىزنىڭ=P=سىز يېڭىشقا=V=يەڭ ئىشەنچىڭىز=N=ئىشەنچ بولمايدىكەن=V=بول ئۇنداقتا=P=ئۇنداق سىزنىڭ=P=سىز بۈگۈننىڭ=N=بۈگۈن ئاخىرقى=A=ئاخىرقى نۇقتىسىغا=N=نۇقتا يېتىپ=V=يات بېرىشىڭزدىن=V=بار ئۈمىد=N=ئۈمىد يوق=A=يوق !=N=!
情感分数 = -1.8600001	مۇشۇ=P=مۇشۇ ناخشىچى=N=ناخشىچى دىگەنگە=N=دىگەن دەيدىغىنىم=V=دە نام=N=نام چىقىرىشنىلا=V=چىق ئويلىماي=V=ئويلا مۇشۇنداق=P=مۇشۇنداق ئاقىۋەتنىڭ=N=ئاقىۋەت چىقىشىنى=V=چىق بىر=M=بىر مىللەتنىڭ=N=مىللەت قوشۇلۇپ=V=قوش ئەيىپلىدىنىغانلىقىنى=N=ئەيىپ ئويلىشىپ=V=ئويلا قويساڭلار=V=قوي
情感分数 = -1.8600001	قەھرىتاندا=N=قەھرىتان پىراۋا=V=پىراۋا ئۈچۈن=R=ئۈچۈن ئوقۇماق=N=ئوقۇ ھەققەتەن=N=ھەققەتەن تەسكەن=A=تەس ،=N=، شۇنۇڭغا=N=شۇ چۈشلۇق=N=چۈشلۇق ئۈنۈم=N=ئۈنۈم كۆرسەملا=V=كۆر بولاتتىغۇ=V=بول
情感分数 = -1.8600001	دۈشمىنىڭ=N=دۈشمەن خوشامەتكە=A=خوشامەت ئۆتسە=V=ئۆت ھوشيار=A=ھوشيار بولمىقىڭ=N=بول كېرەك=A=كېرەك
情感分数 = -1.8600001	چەتنىڭ=A=چەت بولغاچ=V=بول تولا=A=تولا تور=N=تور ئۈزلىۋالدىكەن=V=ئۈزۈل بىر=M=بىر ئۈزۈلسە=V=ئۈزۈل قايتا=D=قايتا چىقىرىشقا=V=چىق توغرا=A=توغرا كېلىدىكەن=V=كەل ئۆتكەندە=V=ئۆتكەندە چوڭ=A=چوڭ مۇستەبىتنىمۇ=A=مۇستەبىت ئاشۇنداق=P=ئاشۇنداق ئۈزۈلۈپ=V=ئۈز چىقىرىپ=V=چىق بولالمىغاچقا=V=بول بەيدۇغا=N=بەيدۇ چىقارغانتىم=V=چىق
情感分数 = -1.8600001	ئىنشائاللاھ=N=ئىنشائاللاھ تۇرىۋالىدۇ=V=تۇر چۈنكى=R=چۈنكى ئۈمىدسزلىك=A=ئۈمىدسىز شەيتاننىڭ=N=شەيتان ئىشى=N=ئىش
情感分数 = -1.8600001	مىسىر=N=مىسىر ئەزەلدىن=D=ئەزەلدىن جۇڭگونىڭ=N=جۇڭگو ئايرىلماس=V=ئايرىل بىر=M=بىر قىسمى=N=قىسم :=N=: بۇ=P=بۇ قۇرلارنى=N=قۇر ئوقۇۋېتىپ=V=ئوقۇ تىترەپ=V=تىترە كەتتىم=V=كەت
情感分数 = -1.7900001	ئادەم=N=ئادەم مەغلۇبىيەتكە=N=مەغلۇبىيەت ئادەتلىنىپ=V=ئادەت قالىدۇ=V=قال شۇنىڭ=P=شۇنىڭ بىلەن=R=بىلەن مەڭگۈ=D=مەڭگۈ غەلىبە=N=غەلىبە قىلالمايدۇ=V=قىل غەلىبە=N=غەلىبە دېگىنىمىز=V=دە مەسئۇلىيەتنى=N=مەسئۇلىيەت ئادا=N=ئادا قىلىش=V=قىل ئىقتىدارىغا=N=ئىقتىدار ئىگە=N=ئىگە بولۇش=V=بول دېگەنلىكتۇر=V=دە
情感分数 = -1.7200003	بىزدە=P=بىز ھېيت=N=ھېيت بولسا=V=بول ناغرا-سۇناي=N=ناغرا-سۇناي ئاۋازى=N=ئاۋاز ياڭرايدۇ=V=ياڭرا ،=V=، بۇ=P=بۇ كىشىنى=N=كىشى جۇشقۇنلۇققا=N=جۇشقۇن باشلايدۇ=V=باشلا ،=N=، ما=N=ما خەقتە=N=خەق ھېيت=N=ھېيت بولسا=V=بول پوچاڭزا=N=پوچاڭزا ئاۋازى=N=ئاۋاز ،=V=، بۇ=P=بۇ كىشىگە=N=كىشىگە جەڭ=N=جەڭ مەيدانىنى=N=مەيدان ئەسلىتىدىكەن=N=ئەسلە ،=N=، ئېتىلىۋاتقان=V=ئات پوجاڭزا=N=پوجاڭزا ۋە=R=ۋە گۈڭگۈرتنىڭ=N=گۈڭگۈرت قاڭسىق=N=قاڭسىق ھىدى=N=ھىد بومبا-ئوقلارغا=N=بومبا-ئوق ئوخشاش=A=ئوخشا كىشىنى=N=كىشى سەسكەندۈرىدىكەن=N=سەسكەندۈر
情感分数 = -1.715	يولۇچىلاردىن=N=يولۇچى ئۆزى=P=ئۆز ئايرىم=A=ئايرىم يول=N=يول ئېچىشنى=V=ئاچ تەلەپ=N=تەلەپ قىلىش=V=قىل بىمەنىلىك=A=بىمەنىلىك يولۇچىلار=N=يولۇچى يولدىن=N=يول ماڭىدۇ=V=ماڭ ئەمما=R=ئەمما يولۇچىنىڭ=N=يولۇچى يول=N=يول ئېچىش=V=ئاچ ۋەزىپىسى=N=ۋەزىپە يوق=A=يوق
情感分数 = -1.715	بۈگۈنكى=A=بۈگۈنكى كورلا=N=كورلا بەك=D=بەك سوغۇق=A=سوغۇق ئۆلمۈدۈم=V=ئۆل ئەمما=R=ئەمما ئۇنىڭ=P=ئۇنىڭ بېرىسى=N=بېرىسى بولۇپ=V=بول كەتتىم=V=كەت تۆنۈگۈن=N=تۆنۈگۈن كەچتە=N=كەچ ئۇخلىمىغانغا=V=ئۇخلا تويدۇم=V=توي
情感分数 = -1.575	شەخسى=N=شەخسى مەنپەتى=V=مەنپەت ۋە=R=ۋە ئۆز=P=ئۆز ھېىسياتنى=V=ھېىسيات بىر=M=بىر مىللەتكە=N=مىللەت بويسۇندۇردىغانلا=V=بويسۇن قانچىكى=P=قانچە كۆپەيسە=V=كۆپ ئۇ=P=ئۇ جەمىيئەت=V=جەمىيئەت شۇنچە=P=شۇنچە زاۋاللىققا=V=زاۋال يۈز=N=يۈز تۇتقان=V=تۇت بۇلىدۇ=N=بۇل .=N=.
情感分数 = -1.575	ئاشۇ=P=ئاشۇ تور=N=تور نامنى=N=نام قولدىن=N=قول بېرىپ=V=بەر قويغانغا=V=قوي بەكلا=D=بەك ئۆكۈنىمىز=V=ئۆكۈن جۇمۇ=P=جۇمۇ ؟=N=؟
情感分数 = -1.5050001	ھەقىقەتەن=D=ھەقىقەتەن توغرا=A=توغرا دەيسىز=V=دە ھازىر=D=ھازىر بىزدە=P=بىز ئىلمىي=A=ئىلمىي تەپەككۇر=N=تەپەككۇر بەك=D=بەك كەملەپ=V=كەم كېتىۋاتىدۇ=V=كەت
情感分数 = -1.5	ئاۋازنى=N=ئاۋاز مانا=T=مانا مۇشۇنداق=P=مۇشۇنداق ئىشلار=N=ئىش ئۈچۈن=C=ئۈچۈن سەرپ=N=سەرپ ئېتىش=V=ئات نېمىدىگەن=D=نېمىدىگەن ياخشى=A=ياخشى ھە=T=ھە ؟=N=؟
情感分数 = -1.5	ھەممىگە=P=ھەممە ئېسىلىپ=V=ئاس باقتىڭىز=N=باق ئەمما=R=ئەمما بىرگە=M=بىرگە ماھىر=A=ماھىر كۆپكە=A=كۆپ قادىر=N=قادىر بولالمىدىڭىز=V=بول ھەي=E=ھەي
情感分数 = -1.5	ماشىنامنى=N=ماشىنا يۇيۇشقا=V=يۇ خوشياقماي=A=خوشياقماي تۇرغاندا=V=تۇر  ماۋۇ=P=ماۋۇ گۈلدۈرمامىلىق=A=گۈلدۈرمامىلىق يامغۇر=N=يامغۇر ھەجەپ=N=ھەجەپ خوشياقتا=A=خوشياق !=N=!
情感分数 = -1.5	ئەسسالامۇ=N=ئەسسالام ئەلەيكۇم=N=ئەلەيكۇم ،=N=، تۇنجى=M=تۇنجى كىرىشىم=V=كىر ،=N=، كەيپىياتىم=V=كەيپىيات پەقەت=D=پەقەت ياخشى=A=ياخشى ئەمەس=V=ئەمەس .=N=.
